Time dependent variable (Data for Internet search growth of term 'Data Science'),,,,,,,,Time Independent variables  (Data for Countries of the world),,,,,,,,,,,
week,analytics,artificial intelligence,big data,data mining,data science,machine learning,python,Country,Population,Area (sq. mi.),Coastline (coast/area ratio),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Crops (%),Other (%),Birthrate,Deathrate
20/01/2019,62,77,77,64,74,84,80,United Kingdom ,60609153,244820,"5,08","5,16",27700,"99,0","543,5","0,21","76,33","10,71","10,13"
27/01/2019,65,76,79,65,79,85,81,United States ,298444215,9631420,"0,21","6,5",37800,"97,0","898,0","0,22","80,65","14,14","8,26"
03/02/2019,65,76,79,63,79,89,81,Uruguay ,3431932,176220,"0,37","11,95",12800,"98,0","291,4","0,23","92,34","13,91","9,05"
10/02/2019,66,82,83,70,78,88,86,Uzbekistan ,27307134,447400,"0,00","71,1",1700,"99,3","62,9","0,83","88,34","26,36","7,84"
17/02/2019,65,80,80,68,80,90,85,Vanuatu ,208869,12200,"20,72","55,16",2900,"53,0","32,6","7,38","90,16","22,72","7,82"
24/02/2019,64,75,79,74,77,86,85,Venezuela ,25730435,912050,"0,31","22,2",4800,"93,4","140,1","0,92","96,13","18,71","4,92"
03/03/2019,64,79,79,70,79,88,87,Vietnam ,84402966,329560,"1,05","25,95",2500,"90,3","187,7","5,95","74,08","16,86","6,22"
10/03/2019,62,77,82,68,77,86,86,Virgin Islands ,108605,1910,"9,84","8,03",17200,,"652,8","2,94","85,3","13,96","6,43"
17/03/2019,63,77,78,67,77,88,84,Wallis and Futuna ,16025,274,"47,08",,3700,"50,0","118,6",25,70,,
24/03/2019,64,79,80,69,80,90,87,West Bank ,2460492,5860,"0,00","19,62",800,,"145,2","18,97","64,13","31,67","3,92"
31/03/2019,64,75,80,73,77,90,85,Western Sahara ,273008,266000,"0,42",,,,,0,"99,98",,
07/04/2019,65,78,81,74,78,89,88,Yemen ,21456188,527970,"0,36","61,5",800,"50,2","37,2","0,24","96,98","42,89","8,3"
14/04/2019,58,71,68,67,74,82,83,Zambia ,11502010,752614,"0,00","88,29",800,"80,6","8,2","0,03","92,9",41,"19,93"
21/04/2019,62,79,74,77,77,85,83,Zimbabwe ,12236805,390580,"0,00","67,69",1900,"90,7","26,8","0,34","91,34","28,01","21,84"
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
